long_name,overall,potential,height_cm,weight_kg,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,cf,cm,cb,gk,AttackWorkRate,DefenseWorkRate,position_Defender,position_Forward,position_Goalkeeper,position_Midfielder,preferred_foot_Left,preferred_foot_Right,tag_Acrobat,tag_Aerial Threat,tag_Clinical Finisher,tag_Complete Defender,tag_Complete Forward,tag_Complete Midfielder,tag_Crosser,tag_Distance Shooter,tag_Dribbler,tag_Engine,tag_FK Specialist,tag_Playmaker,tag_Poacher,tag_Speedster,tag_Strength,tag_Tackling,tag_Tactician,traits_Cautious With Crosses,traits_Chip Shot (AI),traits_Comes For Crosses,traits_Dives Into Tackles (AI),traits_Early Crosser,traits_Finesse Shot,traits_Flair,traits_GK Long Throw,traits_Giant Throw-in,traits_Injury Prone,traits_Leadership,traits_Long Passer (AI),traits_Long Shot Taker (AI),traits_Long Throw-in,traits_Outside Foot Shot,traits_Playmaker (AI),traits_Power Free-Kick,traits_Power Header,traits_Rushes Out Of Goal,traits_Saves with Feet,traits_Solid Player,traits_Speed Dribbler (AI),traits_Team Player,traits_Technical Dribbler (AI)
Kailen Mary Iacovoni Sheridan,85,89,176,72,2,1,0.0,0.0,0.0,0.0,0.0,0.0,13,10,17,29,11,14,13,15,26,17,25,30,46,81,46,61,53,38,70,17,26,13,7,32,25,33.0,18,14,13,86,82,81,85,86,27.0,26,29,29,86,0.5,0.5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deanne Rose,79,87,163,62,3,4,91.0,76.0,73.0,80.0,36.0,72.0,78,76,70,77,76,83,75,52,60,82,89,93,79,71,72,78,78,64,81,76,59,25,83,75,60,61.0,35,36,26,8,7,10,8,7,0.0,80,72,53,17,1.0,0.5,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Carolyn Jane Campbell,84,86,173,66,2,1,0.0,0.0,0.0,0.0,0.0,0.0,17,13,17,22,12,16,14,15,37,20,42,44,58,79,55,64,64,45,42,14,29,22,14,45,42,68.0,12,18,19,84,83,85,85,83,43.0,30,33,28,85,0.5,0.5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Millie Bright,87,88,178,76,4,2,59.0,50.0,70.0,65.0,87.0,88.0,50,49,89,88,35,59,51,52,86,83,51,65,34,89,37,63,90,78,92,46,91,87,38,57,59,85.0,90,85,81,11,12,12,8,16,0.0,64,78,88,23,0.0,1.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Sara Doorsoun-Khajeh,83,83,170,58,3,2,81.0,62.0,75.0,76.0,84.0,78.0,66,56,79,83,58,70,64,44,79,83,78,84,72,84,80,70,82,83,73,69,82,83,71,76,56,79.0,86,85,86,11,15,12,13,8,0.0,75,82,83,23,0.5,0.5,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Linda Dallmann,84,84,158,51,4,4,82.0,77.0,78.0,87.0,46.0,59.0,66,80,34,82,69,86,75,63,81,88,84,80,93,83,93,74,58,78,50,78,57,50,81,83,65,76.0,46,48,44,8,13,16,9,13,0.0,82,82,56,22,0.5,0.5,0,0,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tuva Hansen,71,77,165,55,2,2,74.0,28.0,38.0,59.0,76.0,62.0,30,25,67,52,31,57,31,29,31,55,72,75,67,67,66,35,71,65,61,24,59,74,29,32,36,72.0,77,79,81,13,12,7,10,11,0.0,47,51,73,19,0.5,1.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frida Leonhardsen Maanum,79,88,173,58,3,3,66.0,72.0,75.0,79.0,71.0,63.0,69,71,60,80,47,82,52,52,78,80,66,66,75,77,67,79,70,71,60,76,60,81,77,79,50,66.0,58,80,74,13,17,15,9,17,0.0,77,81,72,23,1.0,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hanna Erica Maria Glas,82,82,172,64,3,2,83.0,53.0,71.0,71.0,80.0,75.0,71,59,79,79,32,65,55,31,73,76,82,84,75,82,66,62,75,83,72,40,71,81,38,67,44,75.0,80,80,79,10,17,11,16,7,0.0,66,74,81,23,0.5,0.5,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ellie Madison Carpenter,83,89,165,60,3,3,85.0,51.0,78.0,77.0,82.0,76.0,88,45,68,84,42,76,71,41,85,80,86,84,68,79,78,68,78,67,79,48,78,83,60,65,43,84.0,79,87,83,9,17,15,11,14,0.0,70,78,82,22,1.0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbara Lorsheijd,72,72,173,68,2,1,0.0,0.0,0.0,0.0,0.0,0.0,15,10,15,26,12,16,14,13,22,22,35,37,32,73,45,55,62,40,54,10,22,20,10,35,20,40.0,10,12,15,72,70,73,65,75,36.0,27,29,26,72,0.5,0.5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jill Jamie Roord,86,89,175,63,4,4,79.0,85.0,84.0,84.0,52.0,67.0,78,84,59,87,80,85,77,77,84,87,80,78,74,89,70,86,56,76,72,90,44,57,87,87,74,82.0,59,46,34,11,14,13,9,10,0.0,85,85,62,23,1.0,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lineth Enid Fabienne Beerensteyn,82,83,162,60,2,4,90.0,78.0,71.0,84.0,52.0,73.0,67,85,68,79,65,85,72,57,66,85,91,90,82,83,88,71,57,77,77,74,63,48,81,70,64,77.0,52,52,45,14,16,16,13,16,0.0,82,77,63,24,1.0,0.0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sisca Catharine Folkertsma,74,78,171,62,4,3,60.0,71.0,76.0,73.0,52.0,64.0,68,68,59,80,69,73,74,68,81,77,66,55,68,67,67,74,73,43,76,77,59,53,69,77,73,75.0,50,51,51,7,14,10,6,6,0.0,72,74,61,17,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renate Jansen,75,75,170,60,3,3,76.0,75.0,67.0,76.0,58.0,71.0,67,76,67,74,70,78,62,54,57,75,74,77,72,76,78,78,66,76,72,73,64,59,77,69,59,75.0,60,53,58,16,12,13,15,16,0.0,75,72,65,23,1.0,0.5,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Rebeca Bernal Rodriguez,71,74,170,62,4,2,74.0,44.0,63.0,66.0,73.0,67.0,68,32,68,68,40,63,59,69,67,65,77,72,72,69,87,55,75,66,67,59,65,73,44,45,46,63.0,72,76,72,13,16,8,7,9,0.0,58,64,73,19,0.5,1.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristina Del Carmen Ferral Montalván,71,71,165,57,3,3,72.0,66.0,69.0,69.0,70.0,69.0,66,63,68,73,67,67,72,70,72,69,73,72,71,61,90,73,85,80,59,65,74,70,66,64,72,66.0,70,71,68,7,9,16,11,11,0.0,67,71,71,17,0.5,1.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anna Johanna Rytting-Kaneryd,75,78,163,58,3,3,81.0,69.0,69.0,79.0,52.0,64.0,72,72,50,72,61,83,71,56,59,81,78,84,72,70,69,67,64,76,60,67,58,35,67,73,62,65.0,66,52,44,12,9,15,7,9,0.0,74,71,58,18,0.5,0.5,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ouleymata Sarr,82,82,175,61,4,4,91.0,77.0,77.0,82.0,44.0,75.0,72,80,79,84,69,83,72,66,74,86,89,92,79,78,67,77,72,78,80,73,58,36,81,76,69,80.0,45,41,34,15,8,16,16,8,0.0,82,78,59,21,1.0,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Théa Gréboval,83,86,168,61,3,2,67.0,58.0,72.0,64.0,85.0,80.0,71,47,85,81,38,59,70,77,69,70,65,68,52,80,66,78,84,68,82,67,87,85,51,60,64,71.0,86,87,80,14,14,11,7,15,0.0,65,72,85,22,0.5,0.5,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Léa Le Garrec,79,79,165,58,4,3,55.0,77.0,80.0,77.0,67.0,71.0,76,74,67,83,76,78,82,73,80,81,63,48,61,79,75,80,69,78,66,81,75,71,78,80,75,73.0,64,68,65,16,13,16,10,8,0.0,76,79,71,21,1.0,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawa Cissoko,80,85,171,56,3,2,54.0,32.0,59.0,55.0,79.0,79.0,34,28,78,79,38,39,28,40,79,76,56,52,41,78,68,40,79,64,80,26,94,78,37,44,49,64.0,80,80,79,14,7,7,9,12,0.0,52,67,82,20,0.0,0.5,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sara Björk Gunnarsdóttir,80,80,175,67,3,3,54.0,70.0,74.0,74.0,79.0,80.0,59,69,72,82,52,75,53,55,80,78,65,45,58,84,55,72,67,77,81,74,85,85,77,81,59,75.0,78,79,72,6,9,6,10,6,0.0,75,80,80,19,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jenna Hellstrom,73,73,168,64,3,3,82.0,62.0,65.0,75.0,46.0,71.0,67,66,51,69,58,77,66,55,62,75,85,79,71,69,73,57,46,80,73,58,62,43,66,62,52,63.0,46,47,44,9,7,7,8,9,0.0,70,68,56,17,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anna Jessica Leat,73,86,175,66,2,1,0.0,0.0,0.0,0.0,0.0,0.0,16,13,7,33,9,12,29,16,27,11,43,36,46,71,54,50,63,28,56,11,21,9,9,32,21,34.0,13,14,13,75,74,66,69,70,40.0,25,27,25,74,0.5,0.5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melissa Elizabeth Lawley,74,74,165,61,5,3,77.0,62.0,73.0,74.0,40.0,66.0,74,60,43,78,63,75,68,65,64,71,78,76,75,74,85,68,59,72,66,62,58,35,69,71,50,63.0,45,40,31,14,16,11,9,13,0.0,71,70,51,22,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Lucía García Córdoba,81,85,165,56,4,3,89.0,81.0,65.0,81.0,33.0,62.0,58,83,72,81,79,83,64,58,56,82,88,89,78,73,78,80,66,69,69,82,34,29,86,52,68,81.0,39,22,17,16,13,16,11,8,0.0,80,70,48,21,1.0,0.0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Rocío Gálvez Luna,75,80,174,68,3,2,68.0,27.0,51.0,63.0,77.0,71.0,31,22,80,78,24,56,27,40,53,68,69,68,66,76,78,41,72,68,72,20,70,74,30,33,39,58.0,78,78,73,10,12,15,10,11,0.0,52,61,77,20,0.5,0.5,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abbie Mary McManus,75,75,172,68,3,2,56.0,29.0,53.0,56.0,76.0,74.0,40,27,70,73,30,44,39,38,67,69,57,55,62,68,50,35,78,67,77,23,76,78,28,26,43,63.0,78,76,75,10,16,12,8,14,0.0,48,60,75,20,0.0,0.5,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keira Fae Walsh,84,90,168,60,3,3,66.0,46.0,81.0,79.0,81.0,74.0,67,41,66,93,42,78,53,51,88,83,66,66,70,84,71,56,70,85,70,42,72,77,70,85,55,85.0,85,84,81,16,9,10,8,8,0.0,72,85,82,21,0.5,1.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vilde Bøe Risa,75,76,165,59,3,3,69.0,68.0,68.0,77.0,43.0,67.0,52,64,59,77,64,80,57,52,73,79,68,69,69,75,64,69,37,67,76,75,52,40,75,72,63,75.0,39,45,43,7,13,11,13,15,0.0,74,74,55,21,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingrid Syrstad Engen,84,89,177,65,3,3,76.0,73.0,82.0,81.0,82.0,85.0,75,73,70,87,65,81,70,60,84,85,78,75,70,84,81,73,79,89,83,77,85,84,78,85,59,84.0,81,85,83,11,14,12,14,8,0.0,80,87,85,23,0.5,1.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andi Maureen Sullivan,81,84,168,57,3,3,68.0,64.0,75.0,77.0,79.0,78.0,56,56,57,84,50,76,73,63,82,82,67,68,66,72,76,75,62,79,80,74,74,79,56,75,80,83.0,83,83,73,9,14,8,10,17,0.0,71,80,78,21,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Zećira Mušović,78,83,180,73,2,1,0.0,0.0,0.0,0.0,0.0,0.0,16,9,15,28,15,14,13,13,30,21,31,26,37,69,47,59,71,22,37,10,22,10,7,48,24,54.0,19,15,16,80,82,78,76,74,29.0,26,30,25,79,0.5,0.5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claire Emslie,76,76,170,66,4,4,77.0,69.0,73.0,76.0,45.0,67.0,72,76,55,78,60,80,63,70,69,77,78,76,65,73,70,72,77,78,75,54,32,47,68,69,54,70.0,42,44,42,13,7,7,6,8,0.0,74,73,56,19,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia Marie Stanway,84,90,162,58,3,4,83.0,79.0,80.0,86.0,65.0,59.0,60,79,43,90,68,91,67,74,82,84,84,82,82,85,83,75,15,83,48,83,65,77,79,84,86,69.0,57,76,58,12,8,15,10,8,0.0,83,87,68,21,1.0,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
肖裕仪,72,73,166,58,3,4,71.0,73.0,69.0,75.0,43.0,68.0,71,75,70,74,69,77,70,53,62,75,73,70,67,67,74,74,76,69,70,72,59,42,70,69,65,72.0,32,44,47,14,15,13,16,16,0.0,73,70,56,23,0.5,0.0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
徐欢,71,80,180,65,2,1,0.0,0.0,0.0,0.0,0.0,0.0,25,18,16,34,11,23,25,36,44,38,50,57,49,65,65,55,69,44,66,18,38,20,12,62,24,44.0,15,21,16,74,69,73,68,72,53.0,35,40,32,72,0.5,0.5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chioma Ubogagu,72,72,170,62,3,3,88.0,68.0,63.0,72.0,39.0,64.0,68,72,70,67,60,69,64,52,62,73,88,88,76,71,80,64,67,67,64,66,58,45,72,55,62,69.0,31,36,33,11,13,8,14,11,0.0,71,66,53,21,0.5,0.5,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Margaret Purce,81,81,163,56,3,4,93.0,76.0,76.0,78.0,42.0,71.0,78,80,50,79,67,79,74,51,74,75,92,93,84,77,79,74,69,81,75,73,50,46,82,75,58,68.0,38,41,43,8,10,14,14,14,0.0,79,76,55,21,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Katja Snoeijs,81,84,172,63,3,3,80.0,81.0,70.0,79.0,43.0,69.0,57,84,76,85,76,81,64,56,66,83,78,82,72,72,65,79,76,82,70,80,48,38,87,66,73,79.0,41,41,31,9,11,16,15,10,0.0,80,76,56,20,0.5,0.5,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
